stepNum,id,divideFlag,cellAge,growthRate,LifeHistory,startVol,targetVol,lineage,pos,time,radius,length,orientation,cellType,X,Y
1,1,False,1,-0.05,5,4.053597545549439,1.911595515165235,,"[135.27686597938143, 0.3607422680412371]",3.0,0.4236170771552665,4.053597545549439,-81.00171277896604,2,939.4226804123712,2.5051546391752577
1,2,False,1,0.026,4,3.1997244154831055,4.38197714321252,,"[73.76806015037594, 1.5872481203007518]",3.0,0.5569586800677341,3.1997244154831055,49.07863172122124,2,512.2781954887218,11.022556390977444
1,3,False,1,0.023,4,3.2649501601431985,4.28987934582315,,"[76.53821538461538, 3.036184615384615]",3.0,0.5296401596782875,3.2649501601431985,73.30552389625959,2,531.5153846153846,21.084615384615383
1,4,False,1,0.02,2,5.502799032559784,6.187081937048757,,"[86.64773459715639, 17.336644549763033]",3.0,0.5227406541085804,5.502799032559784,58.57785406098095,2,601.7203791469194,120.39336492890996
1,5,True,1,NaN,1,4.836409995253673,4.836409995253673,,"[90.58742857142856, 20.12647619047619]",3.0,0.5244321147368164,4.836409995253673,60.8275194904629,2,629.0793650793651,139.76719576719577
1,6,False,1,-0.029,5,1.0510929788530412,0.6829737725488636,,"[52.31314285714285, 25.811999999999998]",3.0,0.3837993599212352,1.0510929788530412,-79.21282082224457,0,363.2857142857143,179.25
1,7,False,1,0.017,3,3.9887260659285935,4.631645878071477,,"[130.5681509433962, 28.392452830188677]",3.0,0.5479560754607777,3.9887260659285935,44.81877757755549,1,906.7232704402516,197.16981132075472
1,8,False,1,0.026,12,2.0423675354266524,5.1755981288319335,,"[31.86211764705882, 28.473882352941175]",3.0,0.44113391531816776,2.0423675354266524,74.81735761013881,1,221.26470588235293,197.73529411764707
1,9,False,1,0.116,4,1.5949498286535229,6.416756777615132,,"[104.73795918367347, 39.85273469387755]",3.0,0.41645805255868656,1.5949498286535229,23.26868318168966,2,727.3469387755102,276.7551020408163
1,10,False,1,0.098,2,2.3006288297222586,4.138921194591708,,"[105.49270588235294, 41.402541176470585]",3.0,0.49172668763897714,2.3006288297222586,29.019487070188305,2,732.5882352941177,287.5176470588235
1,11,False,1,0.015,6,3.0872661443420513,4.0213658326298,,"[96.1188, 44.40839999999999]",3.0,0.5213522211517286,3.0872661443420513,52.50913243891085,1,667.4916666666667,308.39166666666665
1,12,False,1,-0.001,3,4.304379369959555,4.248061615307459,,"[159.75519999999997, 44.79999999999999]",3.0,0.562827326865571,4.304379369959555,-71.04227754783315,0,1109.411111111111,311.1111111111111
1,13,True,1,NaN,1,5.565959462201928,5.565959462201928,,"[132.507223880597, 46.821492537313425]",3.0,0.5097827052903314,5.565959462201928,50.49074453858731,2,920.189054726368,325.14925373134326
1,14,False,1,0.012,6,3.261936005864675,4.04520742967598,,"[98.6098064516129, 46.39703225806451]",3.0,0.506656968688665,3.261936005864675,61.917564019765365,1,684.7903225806451,322.2016129032258
1,15,False,1,-0.012,4,5.589902895333087,4.825246933515949,,"[134.82514285714288, 50.03428571428571]",3.0,0.45671716461284406,5.589902895333087,52.21551561553011,2,936.2857142857144,347.46031746031747
1,16,False,1,0.193,4,0.5491944514054612,5.559407751892199,,"[197.25381818181816, 62.23418181818182]",3.0,0.26442340202257075,0.5491944514054612,-45.0,0,1369.8181818181818,432.1818181818182
1,17,True,1,NaN,1,3.6269939932262223,3.6269939932262223,,"[195.66899999999998, 66.31328571428571]",3.0,0.41823544585936867,3.6269939932262223,-0.8219752731035439,2,1358.8125,460.50892857142856
1,18,True,1,NaN,1,3.696132851032291,3.696132851032291,,"[111.70158904109587, 69.91791780821917]",3.0,0.5386983074977314,3.696132851032291,21.692021051064096,1,775.7054794520548,485.541095890411
1,19,False,1,0.026,11,2.9180206388069836,6.846324199366322,,"[28.89227184466019, 73.42741747572815]",3.0,0.4667084618217162,2.9180206388069836,31.320761354896792,1,200.64077669902912,509.9126213592233
1,20,False,1,0.024,9,2.8250374764067105,5.446944099623514,,"[30.01085217391304, 76.03575652173913]",3.0,0.5414028020202376,2.8250374764067105,14.7705238160825,1,208.40869565217392,528.0260869565218
1,21,True,1,NaN,1,1.819007215537827,1.819007215537827,,"[106.62678260869563, 90.55304347826086]",3.0,0.5003607737437605,1.819007215537827,73.0095442896309,1,740.463768115942,628.8405797101449
1,22,False,1,0.008,3,3.2425846535085268,3.4958594546560904,,"[68.43705882352941, 92.448]",3.0,0.5598921122563841,3.2425846535085268,29.386057291642995,1,475.25735294117646,642.0
1,23,True,1,NaN,1,1.9715010852308024,1.9715010852308024,,"[95.716987012987, 109.67189610389609]",3.0,0.5172480431735865,1.9715010852308024,56.23384159376712,1,664.7012987012987,761.6103896103896
1,24,False,1,0.002,19,2.0373282473427,2.2505416395039974,,"[164.22063157894735, 113.17894736842105]",3.0,0.37126229438703157,2.0373282473427,-38.45578401763446,2,1140.421052631579,785.9649122807018
1,25,False,1,-0.007,6,2.112031992781353,1.8589165309140179,,"[170.95846153846153, 115.97261538461538]",3.0,0.33794242005455855,2.112031992781353,76.85410503456856,2,1187.2115384615386,805.3653846153846
1,26,True,1,NaN,1,6.404306300485171,6.404306300485171,,"[165.67386206896552, 117.24331034482758]",3.0,0.5119474478028161,6.404306300485171,72.62386839591295,2,1150.5129310344828,814.1896551724138
1,27,False,1,0.005,2,4.474477553991183,4.612946138951286,,"[91.22030769230768, 118.96246153846153]",3.0,0.472865773050507,4.474477553991183,30.774148686216375,1,633.474358974359,826.1282051282051
